insectid,round,transect,distance,soild13c,soild15n,soilccombust,soilncombust,soilcnratio,moisture,trophic,species,median,sex
1-T1-25-B3,1,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Pterostichus crenicollis,9.13,F
1-T1-25-B2,1,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Scaphinotus angusticollis,14.88,F
1-T1-25-B1,1,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Zacotus matthewsii,9.23,F
1-T10-25-B1,1,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Zacotus matthewsii,9.7,F
1-T2-0-B1,1,T2,0,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Zacotus matthewsii,8.92,F
1-T2-25-B3,1,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Pterostichus amethystinus,6.96,F
1-T3-0-B1,1,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.28,F
1-T3-0-B2,1,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.65,F
1-T3-0-B3,1,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.84,F
1-T4-50-B6,1,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,13.08,F
1-T4-50-B7,1,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,13.55,F
1-T4-50-B3,1,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.72,F
1-T5-0-B5,1,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,9.69,F
1-T5-0-B6,1,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,9.57,F
1-T5-0-B1,1,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.69,F
1-T5-0-B2,1,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.14,F
1-T5-0-B4,1,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.3,F
1-T5-25-B1,1,T5,25,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Zacotus matthewsii,9.4,F
1-T5-25-B2,1,T5,25,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Zacotus matthewsii,9.62,F
1-T5-50-B1,1,T5,50,-26.57,3.09,37.03,1.62,22.9,1.517,Carabidae,Zacotus matthewsii,9.37,F
1-T6-25-B2,1,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Scaphinotus angusticollis,14.55,F
1-T6-25-B1,1,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,9.78,F
1-T6-50-B1,1,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.67,F
1-T6-50-B2,1,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.35,F
1-T7-0-B1,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.58,F
1-T7-0-B6,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.63,F
1-T7-0-B9,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,10.32,F
1-T7-25-B1,1,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,9.57,F
1-T7-25-B2,1,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,9.85,F
1-T7-50-B1,1,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,8.99,F
1-T7-50-B2,1,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.29,F
1-T8-0-B1,1,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.25,F
1-T8-25-B1,1,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.37,F
1-T8-50-B2,1,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,6.68,F
1-T9-0-B3,1,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Pterostichus amethystinus,6.8,F
1-T9-0-B1,1,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,9.3,F
1-T9-0-B2,1,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,8.94,F
1-T9-25-B1,1,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.45,F
1-T9-25-B2,1,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.25,F
1-T9-50-B1,1,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Pterostichus amethystinus,6.47,F
2-T1-25-B2,2,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Pterostichus amethystinus,6.46,F
2-T1-25-B1,2,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Scaphinotus angusticollis,13.28,F
2-T10-50-B1,2,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Pterostichus amethystinus,6.59,F
2-T10-50-B2,2,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Pterostichus amethystinus,5.81,F
2-T2-0-B1,2,T2,0,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Zacotus matthewsii,9.89,F
2-T2-25-B2,2,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Cychrus tuberculatus,14.01,F
2-T2-25-B1,2,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Scaphinotus angusticollis,14.66,F
2-T3-0-B4,2,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Pterostichus amethystinus,7.07,F
2-T3-0-B3,2,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Scaphinotus angusticollis,13.69,F
2-T3-0-B1,2,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.59,F
2-T3-0-B2,2,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.59,F
2-T3-50-B3,2,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Pterostichus amethystinus,6.5,F
2-T3-50-B1,2,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Zacotus matthewsii,10.17,F
