transect,distance,makeup,bodyd13C,bodyd15N,bodyccombust,bodyncombust,bodycnratio,soild13C,soild15N,soilccombust,soilncombust,soilcnratio,moisture,trophic,species,median
T1,0,1,-26.5,7.16,49.47,11.05,4.5,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.98
T10,0,1,-26.13,10.87,49.59,11.71,4.2,-26.95,6.39,44.92,1.49,30.2,5.654,Carabidae,Zacotus matthewsii,9.71
T2,0,1,-25.81,8.17,47.74,11.53,4.1,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Zacotus matthewsii,9.4
T3,0,1,-25.87,9.16,50.39,11.69,4.3,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.78
T4,0,1,-25.97,7.2,49.9,11.86,4.2,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Zacotus matthewsii,9.55
T5,0,1,-25.92,8.15,49.19,11.01,4.5,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.26
T6,0,1,-26.94,8.65,50.51,11.11,4.6,-27.24,8.69,49.39,2.35,21,3.905,Carabidae,Zacotus matthewsii,9.42
T7,0,1,-26.35,10.11,50.65,10.4,4.9,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9
T8,0,1,-26.58,11.09,51.32,10.33,5,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.05
T9,0,1,-26.18,9.98,51.08,10.65,4.8,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,9.57
T1,25,1,-26.89,9.07,47.96,10.97,4.4,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Zacotus matthewsii,10.15
T10,25,1,-25.58,11.48,47.72,11.04,4.3,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Zacotus matthewsii,9.61
T2,25,1,-26.05,6.44,47.9,11.4,4.2,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Zacotus matthewsii,9.27
T3,25,1,-25.55,9.42,51.4,12.21,4.2,-26.59,3.56,54.12,1.08,50.1,5.041,Carabidae,Zacotus matthewsii,9.98
T4,25,1,-26.36,6.52,49.47,11.28,4.4,-26.38,3.79,52.02,1.32,39.4,7.351,Carabidae,Zacotus matthewsii,9.31
T5,25,1,-26.04,8.64,52.08,10.15,5.1,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Zacotus matthewsii,9.23
T6,25,1,-25.91,9.96,48.73,11.34,4.3,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,9.66
T7,25,1,-25.75,10.48,48.09,11.34,4.2,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,10.27
T8,25,1,-26.74,10.16,51.68,10.18,5.1,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.38
T9,25,1,-25.47,9.58,47.79,11.25,4.3,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.43
T1,50,1,-26.42,7.34,49.91,11.05,4.5,-27.16,2.45,51.52,1.05,49.1,4.982,Carabidae,Zacotus matthewsii,9.61
T10,50,1,-25.24,9.25,49,10.74,4.6,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Zacotus matthewsii,9.46
T2,50,1,-25.63,8.87,49.02,10.43,4.7,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Zacotus matthewsii,9.57
T3,50,1,-25.58,7.1,49.35,11.48,4.3,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Zacotus matthewsii,9.61
T4,50,1,-26.96,9.2,52.9,9.78,5.4,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,8.94
T5,50,1,-25.76,9.22,52.28,10.39,5,-26.57,3.09,37.03,1.62,22.9,1.517,Carabidae,Zacotus matthewsii,8.94
T6,50,1,-26.2,7.87,49.45,10.74,4.6,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.76
T7,50,1,-26.26,8.64,48.37,11.03,4.4,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.4
T8,50,1,-25.31,8.45,50.52,11.69,4.3,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Zacotus matthewsii,9.37
T9,50,1,-26.37,7.49,51.3,10.89,4.7,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Zacotus matthewsii,8.73
T1,0,3,-26.73,3.46,54.66,7.9,6.9,-26.99,6.83,52.57,1.28,41.1,5.057,Curculionidae,Steremnius carinatus,4.673333333
T10,0,3,-25.26,3.55,48.54,8.9,5.5,-26.95,6.39,44.92,1.49,30.2,5.654,Curculionidae,Steremnius carinatus,4.99
T2,0,3,-26.94,2.19,52.44,8.16,6.4,-27.34,8.81,52.84,1.49,35.5,4.588,Curculionidae,Steremnius carinatus,5.093333333
T3,0,3,-25.98,2.48,52.24,8.43,6.2,-27.62,6.98,52.82,1.67,31.6,5.079,Curculionidae,Steremnius carinatus,5.143333333
T4,0,3,-25.81,3.75,48.27,8.87,5.4,-27.3,7.3,50.38,1.77,28.5,6.674,Curculionidae,Steremnius carinatus,4.926666667
T6,0,3,-25.87,1.98,49.48,9.09,5.4,-27.24,8.69,49.39,2.35,21,3.905,Curculionidae,Steremnius carinatus,5.526666667
T7,0,3,-25.45,3.65,51.91,8.48,6.1,-27.82,9.24,51.65,2,25.8,1.699,Curculionidae,Steremnius carinatus,5.106666667
T8,0,3,-25.68,2.45,51.12,8.75,5.8,-26.66,8.91,53.83,1.58,34.1,4.005,Curculionidae,Steremnius carinatus,4.926666667
T9,0,3,-25.59,3.77,50.39,8.88,5.7,-27.78,5.77,53.08,1.52,34.9,4.775,Curculionidae,Steremnius carinatus,4.956666667
T1,25,3,-26.15,1.69,53.41,8.19,6.5,-26.48,8.3,30.95,0.66,46.9,2.641,Curculionidae,Steremnius carinatus,4.933333333
T10,25,3,-25.21,1.45,49.75,8.78,5.7,-27.54,5.66,51.9,1.71,30.4,5.151,Curculionidae,Steremnius carinatus,5.076666667
T2,25,3,-25.71,2.21,53.42,8.22,6.5,-27.74,4.26,52.51,0.97,54.1,3.459,Curculionidae,Steremnius carinatus,4.746666667
T3,25,3,-27.51,3.68,54.05,8.4,6.4,-26.59,3.56,54.12,1.08,50.1,5.041,Curculionidae,Steremnius carinatus,5.123333333
T4,25,3,-25.68,-0.92,50.3,8.29,6.1,-26.38,3.79,52.02,1.32,39.4,7.351,Curculionidae,Steremnius carinatus,4.783333333
T5,25,3,-25.7,2.03,49.87,9.06,5.5,-27.18,3.71,43.32,1.81,23.9,4.101,Curculionidae,Steremnius carinatus,5.11
T6,25,3,-25.54,3.83,50.04,9.24,5.4,-28,3.29,52.33,1.68,31.2,2.546,Curculionidae,Steremnius carinatus,4.916666667
T8,25,3,-25.4,4.45,49.64,9.06,5.5,-27.35,3.92,52.9,1.65,32.1,4.798,Curculionidae,Steremnius carinatus,5.133333333
T9,25,3,-25.7,3.06,51.31,8.76,5.9,-27.09,5.31,37.95,1.75,21.7,3.987,Curculionidae,Steremnius carinatus,4.61
T1,50,3,-26.84,0.01,59.08,8.2,7.2,-27.16,2.45,51.52,1.05,49.1,4.982,Curculionidae,Steremnius carinatus,4.86
T10,50,3,-26.34,2,53.09,8.69,6.1,-26.74,1.68,53.4,1.21,44.1,4.111,Curculionidae,Steremnius carinatus,4.76
T2,50,3,-25.68,0.05,52.32,8.16,6.4,-26.28,4.74,42.96,1.18,36.4,4.628,Curculionidae,Steremnius carinatus,4.953333333
T3,50,3,-26.29,2.67,50.17,8.51,5.9,-27.4,3.13,50.79,1.32,38.5,4.599,Curculionidae,Steremnius carinatus,5.113333333
