transect,distance,makeup,trophic,species,bodyd13C,bodyd15N,bodyccombust,bodyncombust,bodycnratio,soild13C,soild15N,soilccombust,soilncombust,soilcnratio,moisture
T1,0,1,Carabidae,Zacotus matthewsii,-26.5,7.16,49.47,11.05,4.5,-26.99,6.83,52.57,1.28,41.1,5.057
T10,0,1,Carabidae,Zacotus matthewsii,-26.13,10.87,49.59,11.71,4.2,-26.95,6.39,44.92,1.49,30.2,5.654
T2,0,1,Carabidae,Zacotus matthewsii,-25.81,8.17,47.74,11.53,4.1,-27.34,8.81,52.84,1.49,35.5,4.588
T3,0,1,Carabidae,Zacotus matthewsii,-25.87,9.16,50.39,11.69,4.3,-27.62,6.98,52.82,1.67,31.6,5.079
T4,0,1,Carabidae,Zacotus matthewsii,-25.97,7.2,49.9,11.86,4.2,-27.3,7.3,50.38,1.77,28.5,6.674
T5,0,1,Carabidae,Zacotus matthewsii,-25.92,8.15,49.19,11.01,4.5,-26.75,7.08,42.12,1.79,23.5,2.995
T6,0,1,Carabidae,Zacotus matthewsii,-26.94,8.65,50.51,11.11,4.6,-27.24,8.69,49.39,2.35,21,3.905
T7,0,1,Carabidae,Zacotus matthewsii,-26.35,10.11,50.65,10.4,4.9,-27.82,9.24,51.65,2,25.8,1.699
T8,0,1,Carabidae,Zacotus matthewsii,-26.58,11.09,51.32,10.33,5,-26.66,8.91,53.83,1.58,34.1,4.005
T9,0,1,Carabidae,Zacotus matthewsii,-26.18,9.98,51.08,10.65,4.8,-27.78,5.77,53.08,1.52,34.9,4.775
T1,25,1,Carabidae,Zacotus matthewsii,-26.89,9.07,47.96,10.97,4.4,-26.48,8.3,30.95,0.66,46.9,2.641
T10,25,1,Carabidae,Zacotus matthewsii,-25.58,11.48,47.72,11.04,4.3,-27.54,5.66,51.9,1.71,30.4,5.151
T2,25,1,Carabidae,Zacotus matthewsii,-26.05,6.44,47.9,11.4,4.2,-27.74,4.26,52.51,0.97,54.1,3.459
T3,25,1,Carabidae,Zacotus matthewsii,-25.55,9.42,51.4,12.21,4.2,-26.59,3.56,54.12,1.08,50.1,5.041
T4,25,1,Carabidae,Zacotus matthewsii,-26.36,6.52,49.47,11.28,4.4,-26.38,3.79,52.02,1.32,39.4,7.351
T5,25,1,Carabidae,Zacotus matthewsii,-26.04,8.64,52.08,10.15,5.1,-27.18,3.71,43.32,1.81,23.9,4.101
T6,25,1,Carabidae,Zacotus matthewsii,-25.91,9.96,48.73,11.34,4.3,-28,3.29,52.33,1.68,31.2,2.546
T7,25,1,Carabidae,Zacotus matthewsii,-25.75,10.48,48.09,11.34,4.2,-26.54,5.3,26.33,1.15,22.9,1.958
T8,25,1,Carabidae,Zacotus matthewsii,-26.74,10.16,51.68,10.18,5.1,-27.35,3.92,52.9,1.65,32.1,4.798
T9,25,1,Carabidae,Zacotus matthewsii,-25.47,9.58,47.79,11.25,4.3,-27.09,5.31,37.95,1.75,21.7,3.987
T1,50,1,Carabidae,Zacotus matthewsii,-26.42,7.34,49.91,11.05,4.5,-27.16,2.45,51.52,1.05,49.1,4.982
T10,50,1,Carabidae,Zacotus matthewsii,-25.24,9.25,49,10.74,4.6,-26.74,1.68,53.4,1.21,44.1,4.111
T2,50,1,Carabidae,Zacotus matthewsii,-25.63,8.87,49.02,10.43,4.7,-26.28,4.74,42.96,1.18,36.4,4.628
T3,50,1,Carabidae,Zacotus matthewsii,-25.58,7.1,49.35,11.48,4.3,-27.4,3.13,50.79,1.32,38.5,4.599
T4,50,1,Carabidae,Zacotus matthewsii,-26.96,9.2,52.9,9.78,5.4,-27.27,4.47,52.97,1.34,39.5,7.413
T5,50,1,Carabidae,Zacotus matthewsii,-25.76,9.22,52.28,10.39,5,-26.57,3.09,37.03,1.62,22.9,1.517
T6,50,1,Carabidae,Zacotus matthewsii,-26.2,7.87,49.45,10.74,4.6,-27.71,4.07,30.07,1.44,20.9,4.77
T7,50,1,Carabidae,Zacotus matthewsii,-26.26,8.64,48.37,11.03,4.4,-27.22,3.8,48.32,2.24,21.6,4.455
T8,50,1,Carabidae,Zacotus matthewsii,-25.31,8.45,50.52,11.69,4.3,-27.24,4.01,54.01,1.41,38.3,4.101
T9,50,1,Carabidae,Zacotus matthewsii,-26.37,7.49,51.3,10.89,4.7,-26.18,5.93,42.06,1.43,29.4,3.66
